timestamp,open,high,low,close,volume,Stock
2025-01-05 18:30:00,2335.95,2340.0,2256.7,2267.15,1191044,ASIANPAINT
2025-01-06 18:30:00,2272.0,2316.0,2272.0,2292.6,740798,ASIANPAINT
2025-01-07 18:30:00,2287.05,2338.0,2272.7,2334.35,1439655,ASIANPAINT
2025-01-08 18:30:00,2341.9,2361.4,2321.3,2350.2,1362314,ASIANPAINT
2025-01-09 18:30:00,2335.6,2348.9,2316.0,2320.75,1214382,ASIANPAINT
2025-01-12 18:30:00,2291.75,2301.9,2246.4,2252.65,1181928,ASIANPAINT
2025-01-13 18:30:00,2269.0,2286.35,2237.0,2239.95,1317678,ASIANPAINT
2025-01-14 18:30:00,2249.0,2253.75,2220.0,2229.7,1308999,ASIANPAINT
2025-01-15 18:30:00,2239.0,2239.85,2207.8,2215.6,1936132,ASIANPAINT
2025-01-16 18:30:00,2225.65,2269.05,2212.5,2261.0,878871,ASIANPAINT
2025-01-19 18:30:00,2272.25,2286.9,2251.0,2280.55,555730,ASIANPAINT
2025-01-20 18:30:00,2280.55,2315.0,2255.0,2260.35,1410331,ASIANPAINT
2025-01-21 18:30:00,2270.0,2270.0,2244.9,2262.1,835523,ASIANPAINT
2025-01-22 18:30:00,2262.1,2301.8,2246.2,2276.35,1142498,ASIANPAINT
2025-01-23 18:30:00,2283.0,2296.55,2255.05,2262.4,543217,ASIANPAINT
2025-01-26 18:30:00,2255.3,2277.75,2246.2,2251.5,1097947,ASIANPAINT
2025-01-27 18:30:00,2260.0,2267.05,2234.1,2241.8,897503,ASIANPAINT
2025-01-28 18:30:00,2241.8,2246.8,2212.05,2223.15,1281122,ASIANPAINT
2025-01-29 18:30:00,2223.15,2259.25,2215.0,2249.85,1155749,ASIANPAINT
2025-01-30 18:30:00,2255.0,2305.0,2234.85,2300.8,1292925,ASIANPAINT
2025-01-31 18:30:00,2312.0,2389.0,2285.3,2351.15,1318652,ASIANPAINT
2025-02-02 18:30:00,2351.15,2364.45,2277.7,2292.25,1070392,ASIANPAINT
2025-02-03 18:30:00,2304.65,2418.6,2263.75,2354.35,5373740,ASIANPAINT
2025-02-04 18:30:00,2269.0,2295.55,2237.25,2275.2,3474657,ASIANPAINT
2025-02-05 18:30:00,2287.2,2298.9,2260.25,2263.4,1285982,ASIANPAINT
2025-02-06 18:30:00,2266.0,2276.3,2243.2,2271.0,1336756,ASIANPAINT
2025-02-09 18:30:00,2271.05,2278.0,2254.0,2270.15,1181565,ASIANPAINT
2025-02-10 18:30:00,2279.0,2282.9,2226.0,2240.85,1607952,ASIANPAINT
2025-02-11 18:30:00,2241.85,2247.95,2185.7,2228.25,1181718,ASIANPAINT
2025-02-12 18:30:00,2228.25,2249.95,2220.0,2236.4,921923,ASIANPAINT
2025-02-13 18:30:00,2236.4,2250.55,2203.0,2231.3,1380052,ASIANPAINT
2025-02-16 18:30:00,2231.3,2260.0,2226.05,2250.85,923979,ASIANPAINT
2025-02-17 18:30:00,2248.0,2251.95,2218.75,2237.6,735853,ASIANPAINT
2025-02-18 18:30:00,2237.6,2249.8,2226.1,2239.1,645236,ASIANPAINT
2025-02-19 18:30:00,2239.1,2257.1,2231.05,2249.05,637444,ASIANPAINT
2025-02-20 18:30:00,2249.05,2265.8,2237.0,2257.6,755633,ASIANPAINT
2025-02-23 18:30:00,2245.9,2259.0,2241.0,2246.2,765060,ASIANPAINT
2025-02-24 18:30:00,2246.2,2257.1,2217.7,2224.75,947724,ASIANPAINT
2025-02-26 18:30:00,2214.0,2228.4,2198.0,2213.65,1027196,ASIANPAINT
2025-02-27 18:30:00,2210.0,2211.35,2175.8,2179.75,1701193,ASIANPAINT
2025-03-02 18:30:00,2179.75,2193.35,2129.0,2166.4,959075,ASIANPAINT
2025-03-03 18:30:00,2154.05,2159.85,2124.75,2132.1,2181015,ASIANPAINT
2025-03-04 18:30:00,2132.0,2182.8,2124.75,2164.15,1535212,ASIANPAINT
2025-03-05 18:30:00,2189.85,2275.0,2183.1,2267.7,1985096,ASIANPAINT
